               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087532,             0.10475,                   0,              0.5526,             0.55125,             0.53869,             0.19932,            0.056613,             0.10422,                   0,            0.070009,           0.0033324,           0.0033324
                   1,            0.061684,             0.10047,                   0,              0.7826,             0.71867,             0.75586,             0.30504,            0.046612,             0.10313,                   0,            0.039987,           0.0066437,           0.0066437
                   2,            0.056794,             0.10104,                   0,             0.86545,              0.7594,             0.83915,             0.36797,              0.0443,            0.097572,                   0,           0.0099425,           0.0099331,           0.0099331
                   3,            0.050509,            0.099999,                   0,             0.89623,             0.79308,             0.86782,             0.40365,            0.041382,            0.096754,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.045711,            0.094149,                   0,             0.90626,             0.81744,              0.8887,             0.42243,              0.0393,            0.094974,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.043439,            0.095151,                   0,             0.90558,             0.83305,             0.89486,             0.43329,            0.038043,            0.094376,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.042189,            0.093401,                   0,             0.91305,             0.83296,             0.89571,             0.43402,            0.038223,            0.093942,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.042036,            0.092976,                   0,             0.91409,              0.8443,             0.90441,             0.43972,            0.037865,            0.093278,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.040613,            0.091621,                   0,             0.91428,             0.84582,             0.90662,             0.45069,             0.03686,            0.092971,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.040953,            0.093629,                   0,             0.91491,             0.85117,             0.90622,             0.45018,            0.036874,            0.093097,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.040322,            0.090457,                   0,             0.92204,             0.84939,             0.90965,              0.4556,            0.036486,            0.092755,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.040113,            0.092126,                   0,             0.92086,             0.85483,             0.91178,             0.45694,            0.036526,             0.09272,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.039867,            0.091875,                   0,             0.92228,              0.8592,             0.91564,             0.45788,            0.036583,            0.092343,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.039399,            0.089694,                   0,             0.92286,             0.85664,             0.91419,             0.46135,            0.036066,            0.092125,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.038859,            0.089523,                   0,             0.92377,             0.86192,             0.91809,             0.46433,            0.036092,            0.092002,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.039084,            0.089593,                   0,              0.9272,             0.85925,             0.91791,             0.46017,            0.036115,            0.092016,                   0,            0.009538,            0.009538,            0.009538
